date,COP50,GXP1,MPMIS1
2017-03-31,3.9352836990026967,0.5319281683385757,3.8649313978942956
2017-06-30,3.911722960419144,-0.07697215403007185,3.9684033388642534
2017-09-30,3.9604321446358335,0.16912896300797264,4.012772908528289
2017-12-31,4.133191273821587,0.2512785343251078,4.08260930600368
2018-03-31,4.216021242364863,0.15360912367887458,4.037774210733707
2018-06-30,4.319486116198982,0.190344714166633,4.04305126783455
2018-09-30,4.32924099922896,0.15989615236351185,4.028916756899646
2018-12-31,4.237915665643679,0.01776464050490567,4.11251186617755
2019-03-31,4.162055130428021,0.12708662737092702,4.050044303325521
2019-06-30,4.247458991040977,0.29100578015022016,4.050044303325521
2019-09-30,4.1617955048067055,0.22906724804031064,4.055257173514054
2019-12-31,4.154837948121742,0.27346844275385607,4.107589788972121
2020-03-31,3.9603914859078495,-0.005264233187606493,4.028916756899646
2020-06-30,3.4545678428371827,0.046333009378692225,3.724487881581304
2020-09-30,3.7689667944186644,0.1534240478589961,3.8451706984403042
2020-12-31,3.7900813346229034,0.028092784944499627,3.906608372726647
2021-03-31,4.110670018261532,0.34192114171341714,3.8877303128591016
2021-06-30,4.22711964485996,0.3094336987578661,3.817712325956905
2021-09-30,4.300434138133517,0.06956329811254669,3.8437441646748516
2021-12-31,4.387138546560058,0.11064089797395127,3.8437441646748516
